qid,student_id,teacher,single_first_score,model_avg_score,final_3wd_score,single_diff,avg_diff,final_diff,single_abs_error,avg_abs_error,final_abs_error,avg_gain_vs_single,final_gain_vs_avg,final_gain_vs_single,route,gate_action,gate_accepted,a3_reason,hard_neg_reasons,mu,risk,blank_rate,std_dev,score_spread,fatal_points_ratio,result_correctness_signal,result_strong_signal,method_evidence_signal,lenient_undercredit_signal,unsupported_high_score_risk,bare_answer_risk,rules,boundary_gate_reason,diagnosis
Q6,E01914214_Q6,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.818182,0.181818,0.55,0.0,0.0,0.5,0.1,0.1,0.1,0.0073,0.0,0.09,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E01914115_Q6,6.0,7.0,8.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,0.0,-1.0,POS,NO_GATE,,confidence_ge_alpha,,0.83356,0.16644,0.0,1.4142,3.0,0.5167,0.35,0.35,0.35,0.0501,0.0,0.2275,,,3wd_unchanged
Q6,E01914290_Q6,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,,confidence_ge_alpha,,0.863636,0.136364,0.91,0.0,0.0,0.0,0.1,0.1,0.1,0.0088,0.0,0.09,,,3wd_unchanged
Q6,E12214006_Q6,6.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.801818,0.198182,0.45,0.0,0.0,0.5,0.2,0.2,0.2,0.0252,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E02014181_Q6,2.0,2.0,2.3,2.3,0.0,0.3,0.3,0.0,0.3,0.3,-0.3,0.0,-0.3,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,0.777449,0.222551,0.45,0.4714,1.0,0.5667,0.1,0.1,0.1,0.0068,0.0,0.09,,raise_without_sufficient_undercredit_evidence,3wd_unchanged;bnd_no_change
Q6,E12214062_Q6,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.801818,0.198182,0.45,0.0,0.0,0.5,0.2,0.2,0.2,0.0252,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12214023_Q6,12.0,4.0,4.0,4.0,-8.0,-8.0,-8.0,8.0,8.0,8.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.816364,0.183636,0.09,0.0,0.0,0.7,0.2,0.2,0.2,0.0231,0.0,0.16,,minor_candidate_delta,serious_error;under_estimation;3wd_unchanged;bnd_no_change;semantic_fatal_related_low
Q6,E12214091_Q6,11.0,3.0,3.0,3.0,-8.0,-8.0,-8.0,8.0,8.0,8.0,0.0,0.0,0.0,NEG,NO_GATE,,hard_neg:semantic_risk_too_high,semantic_risk_too_high,0.8,0.2,0.0,0.0,0.0,0.85,0.15,0.15,0.15,0.013,0.0,0.1275,,,serious_error;under_estimation;3wd_unchanged;neg_too_low;semantic_fatal_related_low
Q6,E12214075_Q6,10.0,8.0,8.3,8.3,-2.0,-1.7,-1.7,2.0,1.7,1.7,0.3,0.0,0.3,BND,keep_minor_change,False,high_confidence_stable_undercredit_review,,0.884722,0.115278,0.27,0.4714,1.0,0.1667,0.4,0.4,0.4,0.0762,0.0,0.24,stable_undercredit_review,minor_candidate_delta,3wd_unchanged;bnd_no_change
Q6,E12214107_Q6,6.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,0.801818,0.198182,0.45,0.0,0.0,0.5,0.2,0.2,0.2,0.0252,0.0,0.16,,minor_candidate_delta,3wd_unchanged;bnd_no_change
