question_id,answer_id,initial_class,confidence,initial_finding,recommended_action
CO_1,ANS_CO_132,teacher_label_high_suspicion,high,"最终答案37H正确；按当前结果导向评分语义，教师2分明显偏低","优先人工复核；确认后更正教师分，不直接删除"
CO_1,ANS_CO_60,teacher_label_high_suspicion,medium,"最终答案37正确但推导存在错误且缺少H；教师1分可能偏低","人工按CO_1结果导向政策确认应给分数"
CO_12,ANS_CO_1467,model_or_extraction_issue,high,"图像中明确写出b=IR，模型却判断IR缺失；教师满分至少有较强证据支撑","保留教师标签；修复图文提取或证据映射后重评"
CO_4,ANS_CO_700,policy_ambiguity,medium,"地址字段有较多正确证据，但命中判断推导混乱；教师宽松、模型偏严","人工确定隐含推导给分上限，不作为噪声直接移除"
CO_4,ANS_CO_756,policy_ambiguity,medium,"第一问多数结构正确，第二问主要给出结论；教师与模型差异来自过程证据权重","人工按过程题宽松政策复核，不直接排除"
CO_5,ANS_CO_258,teacher_label_high_suspicion,high,"扩展操作码模型与两个最终数量均错误，教师统一给8分明显偏高","优先人工复核；重点检查CO_5是否存在批量标签偏置"
CO_5,ANS_CO_271,teacher_label_high_suspicion,high,"把编码空间简单相减并得到1011/758，违背扩展编码逻辑","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_273,teacher_label_high_suspicion,high,"使用错误位数并得到499/246，核心答案错误","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_277,teacher_label_high_suspicion,high,"推导方程与20/56均不符合标准编码模型","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_280,teacher_label_high_suspicion,high,"把总操作码空间直接减去指令数，得到1011/758","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_289,teacher_label_high_suspicion,high,"计算487/468且编码资源关系错误","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_294,teacher_label_high_suspicion,high,"计算过程和40440/192均明显错误","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_295,teacher_label_high_suspicion,high,"核心结果482/722错误，且资源方程不成立","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_299,teacher_label_high_suspicion,high,"核心结果7/9与标准255/128相差显著","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_304,teacher_label_high_suspicion,high,"重复采用错误的简单相减模型并得到1011/758","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_337,teacher_label_high_suspicion,high,"对地址位和操作码扩展关系理解错误，结果64/64","优先人工复核；确认后更正或排除"
CO_5,ANS_CO_339,teacher_label_high_suspicion,high,"结果959/15不符合标准扩展编码约束","优先人工复核；确认后更正或排除"
CO_6,ANS_CO_385,policy_ambiguity,medium,"分组字段、BCF/BAF有正确证据，但漏掉非互斥控制信号导致总长错误","人工确定过程分比例；教师16分可能宽松但非明显噪声"
CO_6,ANS_CO_387,policy_ambiguity,medium,"控制字段16位正确，BCF/BAF及容量错误；教师10分属于宽松部分分","人工按步骤权重复核，不直接排除"
CO_7,ANS_CO_483,policy_ambiguity,medium,"正确计算单条指令时间但遗漏10^5指令因子","人工确认方法分上限；教师8分可能偏宽"
CO_7,ANS_CO_513,model_or_extraction_issue,high,"完整使用指令数、CPI和频率计算出两机总时间","保留教师10分；检查模型为何仅给5分"
CO_7,ANS_CO_514,model_or_extraction_issue,medium,"图像中包含10×10^4因子，文本转写和指数识别存在歧义","保留教师标签；人工看原图并修复指数提取"
CO_8,ANS_CO_817,policy_ambiguity,medium,"两问均展示部分计算但最终比例错误","教师4分可解释为过程分；不直接排除"
CO_8,ANS_CO_818,policy_ambiguity,medium,"第一问方法接近但使用每32B查询，第二问有完整时间分解","教师4分具有部分过程依据；不直接排除"
CO_8,ANS_CO_835,model_or_extraction_issue,high,"查询50%和DMA 1%的核心计算均正确","保留教师10分；修复模型漏给结果分"
CO_8,ANS_CO_842,policy_ambiguity,medium,"第一问6.25%错误，第二问1%正确且有过程","教师7分属于可解释的宽松部分分"
CO_8,ANS_CO_854,teacher_label_high_suspicion,high,"第一问查询次数缺失且结果错误，第二问计数正确但比例错误","优先人工复核；教师7分可能明显偏高"
CO_8,ANS_CO_859,teacher_label_high_suspicion,high,"第一问50%正确，第二问把传输次数算成1000并得4%","优先人工复核；教师9分对错误第二问给分过高"
CO_8,ANS_CO_860,policy_ambiguity,medium,"混合了DMA传输时间与CPU占用时间，仍有启动和结束开销证据","教师4分可视为过程分；不直接排除"
CO_8,ANS_CO_867,teacher_label_high_suspicion,high,"查询过程正确但写成5%，DMA次数与4%均错误","优先人工复核；教师8分可能明显偏高"
CO_9,ANS_CO_1009,policy_ambiguity,medium,"芯片数量正确，地址/片选表书写混乱","教师11分可能包含较多结构分；人工复核"
CO_9,ANS_CO_1027,teacher_label_high_suspicion,high,"芯片数量和高位地址编码基本完整正确","优先人工复核；教师11分可能偏低"
CO_9,ANS_CO_1030,policy_ambiguity,medium,"ROM数量正确但RAM数量错误，仅有部分片选表达式","教师8分属于宽松部分分；人工复核"
CO_9,ANS_CO_931,model_or_extraction_issue,medium,"芯片数量正确，但片选符号未明确映射到真实地址线","教师10分合理性高于模型满分；检查准则结构匹配"
CO_9,ANS_CO_943,model_or_extraction_issue,high,"只列芯片数量和CS编号，未给有效地址范围或译码表达式","保留教师9分；模型15分属于过度匹配"
CO_9,ANS_CO_969,policy_ambiguity,medium,"数量正确且大部分地址正确，但RAM7范围与RAM6重叠","教师9分可能体现地址错误扣分；人工复核"
CPL_6,ANS_CPL_339,model_or_extraction_issue,high,"字母边界使用严格大于/小于，遗漏a/z及A/Z端点","教师6分合理；模型8.7对边界错误扣分不足"
CPL_6,ANS_CPL_353,model_or_extraction_issue,high,"使用C语言不合法的链式比较且word/words不一致","教师6分合理；模型满分源于语言语义判断错误"
CPL_8,ANS_CPL_456,teacher_label_high_suspicion,medium,"五个指针表达式与参考形式高度一致","优先看原题空位和原图；若无转写错误则教师6分偏低"
DM_1,ANS_DM_32,teacher_label_high_suspicion,medium,"文字答案覆盖极小/极大/最小/最大及上下界主要结论","优先结合原图核对图示部分；可能为教师低估"
DM_2,ANS_DM_114,model_or_extraction_issue,high,"自反性和对称性量化对象书写不严谨，模型仍给满分","教师7分合理；加强形式证明的结构校验"
DM_2,ANS_DM_169,model_or_extraction_issue,high,"自反性证明对象写错且结尾属性名误写，模型仍给满分","教师7分合理；模型对形式错误过宽"
DM_3,ANS_DM_203,model_or_extraction_issue,medium,"主证明思路可成立，但使用F/T推理记号存在形式不严谨","教师7分可能按证明规范扣分；模型满分过宽"
DM_3,ANS_DM_239,model_or_extraction_issue,high,"存在变量实例化与推理引用不完整，形式证明不够严谨","教师7分合理；模型满分过宽"
DM_3,ANS_DM_261,model_or_extraction_issue,medium,"证明主链基本正确，但关键否定推理省略说明","教师7分可能体现规范扣分；需人工按课程标准确认"
DM_3,ANS_DM_272,model_or_extraction_issue,medium,"证明主链完整，但第10到12步的析取推理说明不充分","教师7分可能体现规范扣分；模型满分需收紧"
ISC_4,ANS_ISC_629,policy_ambiguity,medium,"协议概念和HTTP构成均不准确，但存在少量相关术语","教师2分可视为尝试分；不直接排除"
ISC_4,ANS_ISC_637,teacher_label_high_suspicion,high,"协议定义基本正确，但HTTP结构回答成传输过程","优先人工复核；教师满分可能明显偏高"
ISC_4,ANS_ISC_662,policy_ambiguity,medium,"回答笼统且不符合标准构成，但存在协议约束含义","教师2分可解释为尝试分；不直接排除"
ISC_5,ANS_ISC_29,teacher_label_high_suspicion,high,"字符串解码、字母和标点分类均大面积错误","优先人工复核；教师4分可能明显偏高"
ISC_5,ANS_ISC_51,teacher_label_high_suspicion,high,"原图可辨认出Hello, AHU!，教师3分可能偏低；转写也存在字符误识别","优先人工复核教师分，同时登记视觉提取错误"
ISC_5,ANS_ISC_58,policy_ambiguity,medium,"抄写十六进制序列正确但字符解码与分类错误","教师2分可视为抄写或过程分；不直接排除"
ISC_6,ANS_ISC_132,model_or_extraction_issue,high,"原图正确写出0.101和10.001，文本提取漏掉末位1","保留教师6分；修复小数末位视觉提取"
ISC_7,ANS_ISC_155,policy_ambiguity,medium,"8GB/32位均错误，教师给统一部分分","核对该题教师是否按方法统一给分；暂不作为个体噪声"
ISC_7,ANS_ISC_157,policy_ambiguity,medium,"2^32GB/128均错误，教师仍给2分","核对整题教师评分政策；暂不个体排除"
ISC_7,ANS_ISC_174,policy_ambiguity,medium,"1.64GB/32位均错误，教师仍给2分","核对整题教师评分政策；暂不个体排除"
ISC_7,ANS_ISC_188,policy_ambiguity,medium,"0.5GB错误且字长表达混乱，教师仍给2分","核对整题教师评分政策；暂不个体排除"
ISC_7,ANS_ISC_198,policy_ambiguity,medium,"8GB/32位错误，教师给2.5分","核对整题教师评分政策；暂不个体排除"
ISC_7,ANS_ISC_203,policy_ambiguity,medium,"2GB/32位错误，教师仍给2分","核对整题教师评分政策；暂不个体排除"
ISC_7,ANS_ISC_211,policy_ambiguity,medium,"64GB/36位错误，教师仍给2分","核对整题教师评分政策；暂不个体排除"
ISC_7,ANS_ISC_218,policy_ambiguity,medium,"0.5GB/32位错误，教师仍给2分","核对整题教师评分政策；暂不个体排除"
ISC_7,ANS_ISC_230,policy_ambiguity,medium,"64GB/33位错误，教师仍给2分","核对整题教师评分政策；暂不个体排除"
ISC_9,ANS_ISC_352,policy_ambiguity,medium,"容量公式结构存在但量纲与结果2000GB严重错误","教师3分可能为方法分；人工确认过程分政策"
ISC_9,ANS_ISC_376,policy_ambiguity,medium,"容量公式结构存在但换算与2000GB结果错误","教师3分可能为方法分；人工确认过程分政策"
ML_2,ANS_ML_110,model_or_extraction_issue,high,"原图最终式为AB+AC+AD+BCD，转写错误加入上划线","保留教师4分；登记公式视觉提取错误"
ML_2,ANS_ML_58,policy_ambiguity,medium,"原图推导与最终式不正确，但有德摩根展开尝试","教师3分属于宽松过程分；不直接排除"
ML_2,ANS_ML_74,model_or_extraction_issue,high,"原图最终式为AB+AC+AD+BCD，转写把字母识别成带否定","保留教师4分；登记公式视觉提取错误"
ML_2,ANS_ML_81,model_or_extraction_issue,high,"原图最终式为AB+AC+AD+BCD，转写错误保留多处上划线","保留教师4分；登记公式视觉提取错误"
ML_3,ANS_ML_140,model_or_extraction_issue,high,"原图中的x被转写成3，实际激励方程与参考答案一致","保留教师6分；登记公式视觉提取错误"
POC_3,ANS_POC_242,teacher_label_high_suspicion,medium,"短语列表包含错误串，只有直接短语和句柄正确","优先人工复核；教师满分可能偏高"
POC_3,ANS_POC_250,policy_ambiguity,medium,"短语、直接短语和句柄均混入错误项，但存在正确ε","教师2分可解释为部分分；不直接排除"
POC_3,ANS_POC_253,policy_ambiguity,medium,"只列一个含ε的完整短语，直接短语和句柄正确","教师满分偏宽但可能按核心答案给分；人工复核政策"
POC_3,ANS_POC_278,model_or_extraction_issue,high,"原图短语aacb、ac、ε以及直接短语和句柄均正确","保留教师5分；修复短语列表的规范化匹配"
