"question_id","answer_id","review_priority","candidate_type","teacher_score","reference_score_key","reference_score","teacher_minus_reference","absolute_difference","candidate_threshold","max_score","model_avg_score","selected_baseline_score","three_way_core_score","final_calibrated_score","route","std_dev","extraction_quality","U_E","U_S","U_R","candidate_reasons","confounds","human_decision","corrected_score","review_note","raw_text","student_image"
"CO_10","ANS_CO_1082","P1","unsafe_pos_review","15","selected_baseline_score","12","3","3","","","","12","","","POS","","","0.2","0.0","0.266667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_10","ANS_CO_1116","P1","unsafe_pos_review","12","selected_baseline_score","9.3","2.7","2.7","","","","9.3","","","POS","","","0.0","0.166667","0.066667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_12","ANS_CO_1441","P1","unsafe_pos_review","17","selected_baseline_score","19.8","-2.8","2.8","","","","19.8","","","POS","","","0.0","0.88","0.226667","teacher_model_disagreement_overcredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_13","ANS_CO_1604","P1","unsafe_pos_review","14","selected_baseline_score","1.2","12.8","12.8","","","","1.2","","","POS","","","0.375","0.125","0.5","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_13","ANS_CO_1612","P1","unsafe_pos_review","15","selected_baseline_score","17.3","-2.3","2.3","","","","17.3","","","POS","","","0.0","0.25","0.0","teacher_model_disagreement_overcredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_3","ANS_CO_217","P1","unsafe_pos_review","9","selected_baseline_score","7.8","1.2","1.2","","","","7.8","","","POS","","","0.0","0.25","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_4","ANS_CO_723","P1","unsafe_pos_review","20","selected_baseline_score","17.2","2.8","2.8","","","","17.2","","","POS","","","0.0","0.625","0.116667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_5","ANS_CO_260","P1","unsafe_pos_review","8","selected_baseline_score","0.4","7.6","7.6","","","","0.4","","","POS","","","0.333333","0.416667","0.388889","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_5","ANS_CO_313","P1","unsafe_pos_review","8","selected_baseline_score","0","8","8","","","","0","","","POS","","","0.333333","0.0","0.388889","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_5","ANS_CO_373","P1","unsafe_pos_review","8","selected_baseline_score","0","8","8","","","","0","","","POS","","","0.333333","0.0","0.333333","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_7","ANS_CO_459","P1","unsafe_pos_review","8","selected_baseline_score","0","8","8","","","","0","","","POS","","","0.0","0.0","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_8","ANS_CO_762","P1","unsafe_pos_review","5","selected_baseline_score","1.8","3.2","3.2","","","","1.8","","","POS","","","0.0","0.625","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_8","ANS_CO_875","P1","unsafe_pos_review","10","selected_baseline_score","8.8","1.2","1.2","","","","8.8","","","POS","","","0.0","1.0","0.166667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_8","ANS_CO_902","P1","unsafe_pos_review","4","selected_baseline_score","2.9","1.1","1.1","","","","2.9","","","POS","","","0.0","0.625","0.166667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CO_8","ANS_CO_904","P1","unsafe_pos_review","3","selected_baseline_score","0.8","2.2","2.2","","","","0.8","","","POS","","","0.25","0.625","0.333333","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CPL_4","ANS_CPL_214","P1","unsafe_pos_review","5","selected_baseline_score","0","5","5","","","","0","","","POS","","","0.0","0.0","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CPL_7","ANS_CPL_372","P1","unsafe_pos_review","15","selected_baseline_score","13.2","1.8","1.8","","","","13.2","","","POS","","","0.0","0.166667","0.0","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CPL_7","ANS_CPL_395","P1","unsafe_pos_review","10","selected_baseline_score","13.2","-3.2","3.2","","","","13.2","","","POS","","","0.0","0.5","0.111111","teacher_model_disagreement_overcredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"CPL_8","ANS_CPL_434","P1","unsafe_pos_review","10","selected_baseline_score","8.5","1.5","1.5","","","","8.5","","","POS","","","0.0","0.75","0.066667","teacher_model_disagreement_undercredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"DM_2","ANS_DM_169","P1","unsafe_pos_review","7","selected_baseline_score","9.7","-2.7","2.7","","","","9.7","","","POS","","","0.0","0.5","0.133333","teacher_model_disagreement_overcredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
"ISC_2","ANS_ISC_483","P1","unsafe_pos_review","4","selected_baseline_score","4.7","-0.7","0.7","","","","4.7","","","POS","","","0.0","0.5","0.333333","teacher_model_disagreement_overcredit|unsafe_sample_routed_to_POS","teacher_label_unverified|model_scoring_error_possible|risk_mapping_error_possible","","","","",""
