qid,student_id,teacher_score,single_first_score,model_avg_score,final_3wd_score,single_error,avg_error,final_error,single_abs_error,avg_abs_error,final_abs_error,avg_gain_vs_single,final_gain_vs_avg,final_gain_vs_single,route,gate_action,a3_reason,rules
Q6,E01914214_Q6,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E01914115_Q6,6.0,7.0,8.0,8.0,1.0,2.0,2.0,1.0,2.0,2.0,-1.0,0.0,-1.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E01914290_Q6,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E02014181_Q6,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12214006_Q6,6.0,4.0,4.3,4.3,-2.0,-1.7000000000000002,-1.7000000000000002,2.0,1.7000000000000002,1.7000000000000002,0.2999999999999998,0.0,0.2999999999999998,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12214023_Q6,12.0,6.0,6.0,6.0,-6.0,-6.0,-6.0,6.0,6.0,6.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12214062_Q6,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12214075_Q6,10.0,8.0,8.3,8.3,-2.0,-1.6999999999999993,-1.6999999999999993,2.0,1.6999999999999993,1.6999999999999993,0.3000000000000007,0.0,0.3000000000000007,POS,NO_GATE,confidence_ge_alpha,
Q6,E12214091_Q6,11.0,3.0,3.0,3.0,-8.0,-8.0,-8.0,8.0,8.0,8.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12214107_Q6,6.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12214098_Q6,9.0,7.0,7.0,7.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12214171_Q6,6.0,4.0,4.3,4.3,-2.0,-1.7000000000000002,-1.7000000000000002,2.0,1.7000000000000002,1.7000000000000002,0.2999999999999998,0.0,0.2999999999999998,BND,reject_raise,beta_lt_confidence_lt_alpha,
Q6,E12214212_Q6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314005_Q6,20.0,16.0,16.0,16.0,-4.0,-4.0,-4.0,4.0,4.0,4.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314009_Q6,4.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,beta_lt_confidence_lt_alpha,
Q6,E12314013_Q6,4.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314017_Q6,10.0,5.0,5.0,5.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,NEG,NO_GATE,hard_neg:semantic_risk_too_high,
Q6,E12314021_Q6,20.0,15.0,15.0,15.0,-5.0,-5.0,-5.0,5.0,5.0,5.0,0.0,0.0,0.0,POS,NO_GATE,confidence_ge_alpha,
Q6,E12314025_Q6,14.0,11.0,11.7,12.7,-3.0,-2.3000000000000007,-1.3000000000000007,3.0,2.3000000000000007,1.3000000000000007,0.6999999999999993,1.0,1.6999999999999993,BND,small_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314029_Q6,4.0,4.0,2.7,2.7,0.0,-1.2999999999999998,-1.2999999999999998,0.0,1.2999999999999998,1.2999999999999998,-1.2999999999999998,0.0,-1.2999999999999998,BND,reject_lower,beta_lt_confidence_lt_alpha,
Q6,E12314033_Q6,18.0,7.0,9.0,10.4,-11.0,-9.0,-7.6,11.0,9.0,7.6,2.0,1.4000000000000004,3.4000000000000004,BND,small_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
Q6,E12314037_Q6,20.0,10.0,12.0,15.0,-10.0,-8.0,-5.0,10.0,8.0,5.0,2.0,3.0,5.0,BND,medium_raise,high_confidence_lenient_undercredit_review,lenient_undercredit_review
