question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,boundary_action
Q6,E01914115,6.0,7.0,8.0,8.0,8.0,1.0,2.0,2.0,2.0,-1.0,0.0,0.0,0.0,-1.0,POS,,,,,,1.4142,0.0,
Q6,E01914214,3.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.55,keep_minor_change
Q6,E01914290,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.91,
Q6,E02014181,2.0,2.0,2.3,2.3,2.3,0.0,0.3,0.3,0.3,-0.3,0.0,0.0,0.0,-0.3,BND,,,,,,0.4714,0.45,reject_raise
Q6,E12214006,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12214023,12.0,4.0,4.0,4.0,4.0,-8.0,-8.0,-8.0,-8.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.09,keep_minor_change
Q6,E12214062,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12214075,10.0,8.0,8.3,8.3,8.3,-2.0,-1.7,-1.7,-1.7,0.3,0.0,0.0,0.0,0.3,BND,,,,,,0.4714,0.27,keep_minor_change
Q6,E12214098,9.0,7.0,7.0,7.0,7.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q6,E12214107,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12214171,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.45,keep_minor_change
Q6,E12214212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,1.0,
Q6,E12314005,20.0,19.0,19.0,19.0,19.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q6,E12314009,4.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.55,keep_minor_change
Q6,E12314013,4.0,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.18,keep_minor_change
Q6,E12314021,20.0,17.0,17.0,17.0,17.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.0,
Q6,E12314025,14.0,8.0,8.3,8.3,8.3,-6.0,-5.7,-5.7,-5.7,0.3,0.0,0.0,0.0,0.3,BND,,,,,,0.4714,0.09,reject_raise
Q6,E12314033,18.0,7.0,8.3,8.3,8.3,-11.0,-9.7,-9.7,-9.7,1.3,0.0,0.0,0.0,1.3,BND,,,,,,0.9428,0.0,reject_raise
Q6,E12314037,20.0,10.0,11.0,11.0,11.0,-10.0,-9.0,-9.0,-9.0,1.0,0.0,0.0,0.0,1.0,BND,,,,,,1.4142,0.0,reject_raise
Q6,E12314041,14.0,9.0,8.7,8.7,8.7,-5.0,-5.3,-5.3,-5.3,-0.3,0.0,0.0,0.0,-0.3,BND,,,,,,0.4714,0.0,reject_raise
Q6,E12314045,10.0,5.0,5.7,5.7,5.7,-5.0,-4.3,-4.3,-4.3,0.7,0.0,0.0,0.0,0.7,BND,,,,,,0.9428,0.09,reject_raise
Q6,E12314049,14.0,8.0,9.0,9.0,9.0,-6.0,-5.0,-5.0,-5.0,1.0,0.0,0.0,0.0,1.0,BND,,,,,,1.4142,0.0,reject_raise
Q6,E12314053,14.0,9.0,9.0,9.0,9.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.18,keep_minor_change
Q6,E12314057,5.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,POS,,,,,,0.0,0.09,
Q6,E12314061,14.0,13.0,11.7,11.7,12.7,-1.0,-2.3,-2.3,-1.3,-1.3,0.0,1.0,1.0,-0.3,BND,,,,,,1.2472,0.0,medium_raise
Q6,E12314065,14.0,8.0,8.7,8.7,8.7,-6.0,-5.3,-5.3,-5.3,0.7,0.0,0.0,0.0,0.7,BND,,,,,,0.4714,0.09,reject_raise
Q6,E12314069,19.0,17.0,17.3,17.3,17.3,-2.0,-1.7,-1.7,-1.7,0.3,0.0,0.0,0.0,0.3,POS,,,,,,0.4714,0.0,
Q6,E12314073,8.0,6.0,7.3,7.3,7.3,-2.0,-0.7,-0.7,-0.7,1.3,0.0,0.0,0.0,1.3,POS,,,,,,1.2472,0.18,
Q6,E12314077,14.0,10.0,11.0,11.0,11.0,-4.0,-3.0,-3.0,-3.0,1.0,0.0,0.0,0.0,1.0,BND,,,,,,1.4142,0.0,reject_raise
Q6,E12314081,14.0,11.0,11.0,11.0,11.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,0.0,0.0,BND,,,,,,0.0,0.0,keep_minor_change
