question_id,answer_id,review_priority,candidate_type,teacher_score,reference_score_key,reference_score,teacher_minus_reference,absolute_difference,candidate_threshold,centered_residual,outlier_threshold,candidate_reasons,question_median_residual,question_systematic_bias,max_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,route,std_dev,extraction_quality,U_E,U_S,U_R,confounds,human_decision,corrected_score,review_note,raw_text,student_image
CO_8,ANS_CO_891,P1,possible_teacher_over_score,7.0,model_avg_score,1.6,5.4,5.4,2.5,4.6,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,1.6,1.6,1.6,1.6,POS,0.4714,high,0.0,0.5,0.083333,,,,,"(1)查询执行时间 = 100/50×10⁶ = 2×10⁻⁶ (S)．
总时间 = 2³²/1×10⁶ = 2³²×10⁻⁶ (S)．
∴时间比率 = 2×10⁻⁶ : 2³²×10⁻⁶ = 2⁻³¹ : 1
(2)启动时间 = 1500/50×10⁶ = .3×10⁻⁵ (S)．
处理时间 = 500/50×10⁶ = 1×10⁻⁵ (S)．
传输时间 = 4×10³/10⁶ = 4x10⁻³ (S)．
∴输入/输出比率 = 4×10⁻⁵ : 4×10⁻³ = .1 : 100．",data/csbench/student_images/CO_8/ANS_CO_891.jpg
CO_8,ANS_CO_854,P1,possible_teacher_over_score,7.0,model_avg_score,2.5,4.5,4.5,2.5,3.7,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,2.5,2.5,2.5,2.5,BND,0.0,high,0.25,0.0,0.25,,,,,"(1) cpu的时钟频率为50MHz，即每秒有50M个时钟周期 对于I/o查询，共需要100个时钟周期 
∴比率=100/(5×10^6)×100%=0.0002% 
(2) 每秒传输速率为1MB，每秒可送1MB/4KB=250个数据 
1500+500=2000
比率=250×2000/(5×10^6)×100%=0.01%",data/csbench/student_images/CO_8/ANS_CO_854.jpg
CO_8,ANS_CO_910,P1,possible_teacher_over_score,9.0,model_avg_score,4.6,4.4,4.4,2.5,3.6,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,4.6,4.6,3.66,3.66,BND,0.5893,high,0.0,0.625,0.083333,,,,,"解: (1) 查询周期100T周期 t=100×50×10⁶s=2×10⁶s 传输速率8×10⁶位每秒 磁盘传输每单位所用时间t₁=32/8×10⁶s=4×10⁻⁶s 传输时间比率为50%
(2)  t总=4kB/1MB/s=4×10⁻³s 2000个周期t₂=2000×1/(50×10⁶s)=4×10⁻⁵s 
故 (t总-t2)/t总×100%=99%",data/csbench/student_images/CO_8/ANS_CO_910.jpg
CO_8,ANS_CO_818,P1,possible_teacher_over_score,4.0,model_avg_score,0.0,4.0,4.0,2.5,3.2,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,0.0,0.0,0.0,0.0,POS,0.0,high,0.0,0.0,0.0,,,,,"(1) ∵CPU的时钟频率为50MHz
- 每个时钟周期用时为1/50MHz=2×10⁻⁸s
查询操作用时为2×10⁻⁸×100=2×10⁻⁶s
每单位存储用时: 32B/1MB/s=32×10⁻⁶s
比率为(2×10⁻⁶s)/(32×10⁻⁶s)=1/16
(2) DMA启动时间为1500×2×10⁻⁸s=3×10⁻⁵s
DMA完成时间处理所需时间为500×2×10⁻⁸=1×10⁻⁵s
平均传输的数据所需用时为10^-3s
DMA启动处理需4 ×10⁻⁵s
将用100:101进行输入/输出操作",data/csbench/student_images/CO_8/ANS_CO_818.jpg
CO_8,ANS_CO_803,P1,possible_teacher_over_score,7.0,model_avg_score,3.4,3.6,3.6,2.5,2.8,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,3.4,3.4,3.4,3.4,BND,0.6562,high,0.25,0.75,0.383333,,,,,"(1)100/(50×10^6)×100%=0.002% 
(2)传输速率1MB/s  从32位的内存单位，则为4B
 4KB/1MB/s=0.004s 
(1500+500)/(50MHZ×0.004)×100%=1%",data/csbench/student_images/CO_8/ANS_CO_803.jpg
CO_8,ANS_CO_902,P1,possible_teacher_over_score,4.0,model_avg_score,0.4,3.6,3.6,2.5,2.8,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,0.4,0.4,0.4,0.4,POS,0.5893,high,0.0,0.625,0.0,,,,,"解:(1)因为采取程序查询方式
∴每传输一字需查询一次
∴h= 100/(100+50×10⁶×32/(10×8)) = 2/3 ≈66.67%
∴CPU为I/O查询的浪费时间比为66.67%
(2)DMA方式需经过预处理,数据传输,后处理.
h= (4×10³/10⁶ ×50×10⁶)/(1500+500+ 4×10³/10⁶ ×50×10⁶) = 100/101
∴CPU将以100/101的时间比率进行输入输出操作.",data/csbench/student_images/CO_8/ANS_CO_902.jpg
CO_8,ANS_CO_881,P1,possible_teacher_over_score,5.0,model_avg_score,1.9,3.1,3.1,2.5,2.3,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,1.9,1.9,1.9,1.9,BND,0.5137,high,0.0,0.625,0.166667,,,,,"解:(1) Ta=100×1/(50×10⁶)s
Ta时间内传输了TaxMB/s=2B
∴Tc=32/(2×8)Ta=2Ta
∴时间比率：Ta/(Ta+Tc)≈33.3%
(2) Ta=4×10³B/(10⁶B/s)=4×10⁻³s
Tc=2000×1/(50×10⁴)=4×10⁻⁵s
∴时间比率：Ta/(Ta+Tc)≈99%",data/csbench/student_images/CO_8/ANS_CO_881.jpg
CO_8,ANS_CO_842,P1,possible_teacher_over_score,7.0,model_avg_score,4.0,3.0,3.0,2.5,2.2,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,4.0,4.0,4.0,4.0,POS,0.2041,high,0.0,0.25,0.083333,,,,,"（1）t0= 100×1/50M = 2×10^-6 s
t1= 32/1×10^6 = 32×10^-6 s
∴时间比率 = t0/t1×100% = 2×10^-6/32×10^-6 ×100% = 6.25%
采用垂直查询方式，时间比率为6.25%
（2）t0 = (500+500)×1/50M = 4×10^-5 s
t1 = 4k/1M = 4×10^3/10^6 = 4×10^-3 s
∴时间比率 = t0/t1×100% = 4×10^-5/4×10^-3 = 1%
∴采用DMA方式，时间比率为1%.",data/csbench/student_images/CO_8/ANS_CO_842.jpg
CO_8,ANS_CO_867,P1,possible_teacher_over_score,8.0,model_avg_score,5.0,3.0,3.0,2.5,2.2,2.13434,absolute_disagreement|within_question_outlier,0.8,False,10.0,5.0,5.0,5.0,5.0,POS,0.0,high,0.0,0.0,0.166667,,,,,"解：1)
每秒传 1×10^6/4B = 2.5×10^5次
共查询 2.5×10^5×100 = 2.5×10^7个周期
I/O查询花费时间比率 2.5×10^7/50×10^6×100% = 5%
(2) 4×10^3/4B = 1×10^3
1×10^3×(1500+500) = 2×10^6
2×10^6/50×10^6×100% = 4%",data/csbench/student_images/CO_8/ANS_CO_867.jpg
CO_8,ANS_CO_762,P1,possible_teacher_over_score,5.0,model_avg_score,2.2,2.8,2.8,2.5,2.0,2.13434,absolute_disagreement,0.8,False,10.0,2.2,2.2,2.7,2.7,BND,0.6562,high,0.0,0.75,0.208333,,,,,"(1) 程序直询方式，且时钟频率为50MHz，查询操作为100个时钟周期
∴时间比率为 100/1/50MHz = 0.005
(2) DMA方式，启动和处理分别需要1500和500个时钟周期，需要3步，但忽略了时间差：4kB/1MB/s=4×10⁻³ 总共周期1500+500=2000个 申请总线的开销
时间比率= 2000/(4KB/1MB/s · 1/50MHz) = 0.04",data/csbench/student_images/CO_8/ANS_CO_762.jpg
CO_8,ANS_CO_817,P1,possible_teacher_over_score,4.0,model_avg_score,1.2,2.8,2.8,2.5,2.0,2.13434,absolute_disagreement,0.8,False,10.0,1.2,1.2,1.2,1.2,POS,0.0,high,0.0,0.0,0.0625,,,,,"解:
1)CPU为I/O查询所花费的时间的比率为100/(50×10^6)=0.0002% 2)由题:DMA启动需1500个时钟周期. 
完成后处理需要500个.
 ∴共需要1500+500=2000个时钟周期 
平均传输数据长度为4KB=10^3B
 磁盘传输速率为1MB/s=10^6B/s
时间比率为(2000×(10^6)/(10^3))/(50×10^6)=4%.",data/csbench/student_images/CO_8/ANS_CO_817.jpg
