question,student_id,teacher,single,avg,selected,final,final_diff,gain_final_vs_avg,gain_final_vs_selected,route,baseline_policy,boundary_action,rules,blank_rate,extraction_quality
Q4,E01914290,4.0,1,1.0,1.0,1.0,-3.0,0.0,0.0,NEG,model_avg,,,0.87,high
Q4,E02014181,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,NEG,model_avg,,,1.0,high
Q4,E12214006,14.0,10,10.7,12.0,12.0,-2.0,1.3000000000000007,0.0,NEG,upper_consensus_strict,,,0.53,high
Q4,E12214023,13.0,10,11.3,12.0,12.0,-1.0,0.6999999999999993,0.0,BND,upper_consensus_strict,reject_lower,,0.2,high
Q4,E12214062,12.0,13,12.7,13.0,13.0,1.0,-0.3000000000000007,0.0,BND,upper_consensus_strict,keep_minor_change,,0.07,high
Q4,E12214075,17.0,15,14.3,15.0,15.0,-2.0,0.6999999999999993,0.0,BND,upper_consensus_strict,reject_raise,,0.13,high
Q4,E12214098,10.0,9,8.3,9.0,9.0,-1.0,0.6999999999999993,0.0,NEG,upper_consensus_strict,,,0.53,high
Q4,E12214107,15.0,13,13.0,13.0,13.0,-2.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.13,high
Q4,E01914115,6.0,9.5,9.5,9.5,9.5,3.5,0.0,0.0,BND,model_avg,keep_minor_change,,0.13,high
Q4,E12214171,15.0,16,16.0,16.0,16.0,1.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.0,high
Q4,E12314013,6.0,5,5.3,5.3,5.3,-0.7000000000000002,0.0,0.0,NEG,model_avg,,,0.6,high
Q4,E12314005,13.0,11,11.7,13.0,13.0,0.0,1.3000000000000007,0.0,BND,upper_consensus_strict,reject_lower,,0.27,high
Q4,E12314025,20.0,16,15.7,16.0,16.0,-4.0,0.3000000000000007,0.0,POS,upper_consensus_strict,,,0.27,high
Q4,E12314021,17.0,18,17.8,17.8,17.8,0.8000000000000007,0.0,0.0,POS,model_avg,,,0.2,high
Q4,E12314033,20.0,19,18.0,18.0,18.0,-2.0,0.0,0.0,POS,model_avg,,,0.13,high
Q4,E12314041,8.0,10,11.8,13.0,13.0,5.0,-1.1999999999999993,0.0,BND,upper_consensus_strict,reject_raise,,0.07,high
Q4,E12314049,15.0,10,10.0,10.0,10.0,-5.0,0.0,0.0,NEG,model_avg,,,0.67,high
Q4,E12314029,20.0,17,17.8,17.8,17.8,-2.1999999999999993,0.0,0.0,POS,model_avg,,,0.0,high
Q4,E12314057,14.0,14,13.7,14.0,14.0,0.0,0.3000000000000007,0.0,BND,upper_consensus_strict,keep_minor_change,,0.0,high
Q4,E12314061,17.0,21,20.3,20.0,20.0,3.0,0.3000000000000007,0.0,POS,model_avg,,,0.0,high
Q4,E12314081,17.0,13,13.0,13.0,13.0,-4.0,0.0,0.0,BND,model_avg,keep_minor_change,,0.27,high
Q4,E12314085,11.0,17,17.3,17.3,17.3,6.300000000000001,0.0,0.0,BND,model_avg,keep_minor_change,,0.07,high
Q4,E12314089,11.0,5,5.0,5.0,5.0,-6.0,0.0,0.0,NEG,model_avg,,,0.4,high
Q4,E12314053,20.0,16,15.5,16.0,16.0,-4.0,0.5,0.0,POS,upper_consensus_strict,,,0.0,high
