question_id,answer_id,review_priority,candidate_type,teacher_score,reference_score_key,reference_score,teacher_minus_reference,absolute_difference,candidate_threshold,centered_residual,outlier_threshold,candidate_reasons,question_median_residual,question_systematic_bias,max_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,route,std_dev,extraction_quality,U_E,U_S,U_R,confounds,human_decision,corrected_score,review_note,raw_text,student_image
CPL_1,ANS_CPL_20,P2,possible_teacher_over_score,5.0,model_avg_score,0.4,4.6,4.6,1.0,4.6,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,0.4,0.4,0.4,0.4,NEG,0.5893,low,0.75,1.0,0.833333,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,3454,data/csbench/student_images/CPL_1/ANS_CPL_20.jpg
CPL_1,ANS_CPL_42,P2,possible_teacher_over_score,5.0,model_avg_score,0.8,4.2,4.2,1.0,4.2,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,0.8,0.8,0.8,0.8,NEG,0.5893,low,0.75,1.0,0.75,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,3454,data/csbench/student_images/CPL_1/ANS_CPL_42.jpg
CPL_1,ANS_CPL_02,P2,possible_teacher_over_score,5.0,model_avg_score,1.7,3.3,3.3,1.0,3.3,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,1.7,1.7,2.7,2.7,BND,0.5893,low,0.5,1.0,0.5,extraction_risk|rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,, 3 4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_02.jpg
CPL_1,ANS_CPL_46,P2,possible_teacher_over_score,5.0,model_avg_score,1.7,3.3,3.3,1.0,3.3,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,1.7,1.7,2.7,2.7,BND,0.5893,low,0.5,1.0,0.666667,extraction_risk|rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,3 4 5 4 ,data/csbench/student_images/CPL_1/ANS_CPL_46.jpg
CPL_1,ANS_CPL_01,P2,possible_teacher_over_score,5.0,model_avg_score,2.1,2.9,2.9,1.0,2.9,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.1,2.1,1.1,1.1,BND,0.5893,low,0.5,1.0,0.666667,extraction_risk|rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,答：3 4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_01.jpg
CPL_1,ANS_CPL_06,P2,possible_teacher_over_score,4.0,model_avg_score,2.5,1.5,1.5,1.0,1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.5,2.5,2.5,2.5,POS,0.0,high,0.0,0.0,0.0,,,,,3 3 45,data/csbench/student_images/CPL_1/ANS_CPL_06.jpg
CPL_1,ANS_CPL_10,P2,possible_teacher_over_score,4.0,model_avg_score,2.5,1.5,1.5,1.0,1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.5,2.5,2.5,2.5,BND,0.0,low,0.5,0.0,0.5,extraction_risk|rubric_mapping_risk,,,,4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_10.jpg
CPL_1,ANS_CPL_31,P2,possible_teacher_over_score,5.0,model_avg_score,3.9,1.1,1.1,1.0,1.1,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,3.9,3.9,3.9,3.9,POS,0.198,high,0.0,0.42,0.0,,,,,3 4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_31.jpg
CPL_3,ANS_CPL_130,P2,possible_teacher_over_score,2.0,model_avg_score,0.0,2.0,2.0,1.5,2.0,1.5,absolute_disagreement|within_question_outlier,0.0,False,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,"6,row:21,col:17",data/csbench/student_images/CPL_3/ANS_CPL_130.jpg
CPL_3,ANS_CPL_133,P2,possible_teacher_over_score,2.0,model_avg_score,0.0,2.0,2.0,1.5,2.0,1.5,absolute_disagreement|within_question_outlier,0.0,False,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,"6,row:21,col:17",data/csbench/student_images/CPL_3/ANS_CPL_133.jpg
CPL_3,ANS_CPL_169,P2,possible_teacher_over_score,3.0,model_avg_score,1.3,1.7,1.7,1.5,1.7,1.5,absolute_disagreement|within_question_outlier,0.0,False,10.0,1.3,1.3,1.3,1.3,NEG,0.4714,low,0.8,0.5,0.833333,extraction_risk|rubric_mapping_risk,,,,"5, row:2l, col:17",data/csbench/student_images/CPL_3/ANS_CPL_169.jpg
CPL_4,ANS_CPL_194,P1,possible_teacher_over_score,9.0,model_avg_score,0.0,9.0,9.0,2.5,6.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,POS,0.0,high,0.0,0.0,0.333333,,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_194.jpg
CPL_4,ANS_CPL_189,P2,possible_teacher_over_score,9.0,model_avg_score,0.0,9.0,9.0,2.5,6.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_189.jpg
CPL_4,ANS_CPL_196,P2,possible_teacher_over_score,9.0,model_avg_score,0.0,9.0,9.0,2.5,6.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_196.jpg
CPL_4,ANS_CPL_230,P2,possible_teacher_over_score,9.0,model_avg_score,0.0,9.0,9.0,2.5,6.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_230.jpg
CPL_4,ANS_CPL_187,P2,possible_teacher_over_score,9.0,model_avg_score,1.8,7.2,7.2,2.5,4.9,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,1.8,1.8,1.8,1.8,NEG,1.5411,low,0.75,1.0,0.75,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_187.jpg
CPL_4,ANS_CPL_218,P2,possible_teacher_over_score,9.0,model_avg_score,2.1,6.9,6.9,2.5,4.6,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,2.1,2.1,4.1,4.1,BND,1.559,high,0.0,1.0,0.25,a3wa_changed_score_materially|unstable_model_judgements,,,,19 18 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_218.jpg
CPL_4,ANS_CPL_227,P2,possible_teacher_over_score,9.0,model_avg_score,2.7,6.3,6.3,2.5,4.0,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,2.7,2.7,4.7,4.7,BND,3.7712,high,0.0,1.0,0.333333,a3wa_changed_score_materially|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_227.jpg
CPL_4,ANS_CPL_240,P2,possible_teacher_over_score,9.0,model_avg_score,2.8,6.2,6.2,2.5,3.9,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,2.8,2.8,4.8,4.8,BND,3.0092,high,0.0,1.0,0.333333,a3wa_changed_score_materially|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_240.jpg
CPL_4,ANS_CPL_184,P2,possible_teacher_over_score,9.0,model_avg_score,3.3,5.7,5.7,2.5,3.4,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,3.3,3.3,3.3,3.3,BND,4.714,high,0.0,1.0,0.666667,rubric_mapping_risk|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_184.jpg
CPL_4,ANS_CPL_190,P2,possible_teacher_over_score,6.0,model_avg_score,0.8,5.2,5.2,2.5,2.9,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.8,0.8,0.0,0.0,BND,1.1785,high,0.0,1.0,0.083333,unstable_model_judgements,,,,19 23 15 24 5 22 24 20 28 16,data/csbench/student_images/CPL_4/ANS_CPL_190.jpg
CPL_4,ANS_CPL_220,P2,possible_teacher_over_score,9.0,model_avg_score,3.8,5.2,5.2,2.5,2.9,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,3.8,3.8,5.8,5.8,BND,1.0274,high,0.0,1.0,0.333333,a3wa_changed_score_materially|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_220.jpg
CPL_4,ANS_CPL_192,P2,possible_teacher_over_score,9.0,model_avg_score,4.0,5.0,5.0,2.5,2.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,4.0,4.0,2.5,2.5,BND,2.8284,high,0.0,1.0,0.333333,a3wa_changed_score_materially|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_192.jpg
CPL_4,ANS_CPL_204,P2,possible_teacher_over_score,10.0,model_avg_score,5.0,5.0,5.0,2.5,2.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,5.0,5.0,5.0,5.0,BND,3.5355,high,0.0,1.0,0.333333,unstable_model_judgements,,,,19 28 20 24 5 22 24 15 13 16,data/csbench/student_images/CPL_4/ANS_CPL_204.jpg
CPL_4,ANS_CPL_205,P2,possible_teacher_over_score,5.0,model_avg_score,0.0,5.0,5.0,2.5,2.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,"18,23,15,24,5,22,24,20,28,17",data/csbench/student_images/CPL_4/ANS_CPL_205.jpg
CPL_4,ANS_CPL_214,P2,possible_teacher_over_score,5.0,model_avg_score,0.0,5.0,5.0,2.5,2.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,23 15 24 5 22 24 20 28 15,data/csbench/student_images/CPL_4/ANS_CPL_214.jpg
CPL_4,ANS_CPL_231,P2,possible_teacher_over_score,5.0,model_avg_score,0.0,5.0,5.0,2.5,2.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,19 28 28 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_231.jpg
CPL_4,ANS_CPL_238,P2,possible_teacher_over_score,5.0,model_avg_score,0.0,5.0,5.0,2.5,2.7,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,19 18 20 24 5 22 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_238.jpg
CPL_4,ANS_CPL_225,P2,possible_teacher_over_score,9.0,model_avg_score,4.2,4.8,4.8,2.5,2.5,2.5,absolute_disagreement|within_question_outlier,2.3,True,10.0,4.2,4.2,4.2,4.2,BND,3.2745,high,0.0,1.0,0.333333,unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_225.jpg
CPL_4,ANS_CPL_229,P2,possible_teacher_over_score,9.0,model_avg_score,4.3,4.7,4.7,2.5,2.4,2.5,absolute_disagreement,2.3,True,10.0,4.3,4.3,2.42,2.42,BND,0.9428,high,0.0,1.0,0.416667,rubric_mapping_risk|a3wa_changed_score_materially,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_229.jpg
CPL_4,ANS_CPL_191,P2,possible_teacher_over_score,5.0,model_avg_score,0.4,4.6,4.6,2.5,2.3,2.5,absolute_disagreement,2.3,True,10.0,0.4,0.4,1.65,1.65,BND,0.5893,high,0.0,0.625,0.333333,a3wa_changed_score_materially,,,,16 19 15 24 5 22 24 20 16 19,data/csbench/student_images/CPL_4/ANS_CPL_191.jpg
CPL_4,ANS_CPL_182,P2,possible_teacher_over_score,9.0,model_avg_score,4.7,4.3,4.3,2.5,2.0,2.5,absolute_disagreement,2.3,True,10.0,4.7,4.7,6.7,6.7,BND,3.3993,high,0.0,1.0,0.25,a3wa_changed_score_materially|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_182.jpg
CPL_4,ANS_CPL_210,P2,possible_teacher_over_score,5.0,model_avg_score,0.8,4.2,4.2,2.5,1.9,2.5,absolute_disagreement,2.3,True,10.0,0.8,0.8,0.0,0.0,BND,1.1785,high,0.0,1.0,0.333333,unstable_model_judgements,,,,4.16 19 15 24 5 22 24 20 16 19,data/csbench/student_images/CPL_4/ANS_CPL_210.jpg
CPL_4,ANS_CPL_197,P2,possible_teacher_over_score,9.0,model_avg_score,5.3,3.7,3.7,2.5,1.4,2.5,absolute_disagreement,2.3,True,10.0,5.3,5.3,3.3,3.3,BND,4.1096,high,0.0,1.0,0.416667,rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,19 28 20 24 22 5 24 15 23 16,data/csbench/student_images/CPL_4/ANS_CPL_197.jpg
CPL_4,ANS_CPL_186,P2,possible_teacher_over_score,5.0,model_avg_score,1.8,3.2,3.2,2.5,0.9,2.5,absolute_disagreement,2.3,True,10.0,1.8,1.8,1.8,1.8,NEG,2.2485,low,0.75,1.0,0.833333,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,"18,27,19,24,5,22,24,16,24,17",data/csbench/student_images/CPL_4/ANS_CPL_186.jpg
