question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action
Q2,E01914115,18.0,14.0,14.0,14.0,12.0,-4.0,-4.0,-4.0,-6.0,4.0,6.0,0.0,0.0,-2.0,-2.0,-2.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.8165,0.0,,,,,,large_lower
Q2,E01914214,20.0,18.0,18.0,18.0,18.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E01914290,15.0,2.0,2.0,2.0,2.0,-13.0,-13.0,-13.0,-13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.56,,,,,,keep_minor_change
Q2,E02014181,15.0,8.0,8.7,8.7,8.7,-7.0,-6.3,-6.3,-6.3,6.3,6.3,0.7,0.0,0.0,0.0,0.7,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,reject_raise
Q2,E12214006,18.0,18.0,18.7,18.7,18.7,0.0,0.7,0.7,0.7,0.7,0.7,-0.7,0.0,0.0,0.0,-0.7,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12214023,20.0,10.0,10.0,10.0,11.4,-10.0,-10.0,-10.0,-8.6,10.0,8.6,0.0,0.0,1.4,1.4,1.4,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.33,,,,,,auto_small_raise
Q2,E12214062,18.0,12.0,12.0,12.0,12.0,-6.0,-6.0,-6.0,-6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,POS,True,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12214075,20.0,20.0,19.7,19.7,19.7,0.0,-0.3,-0.3,-0.3,0.3,0.3,-0.3,0.0,0.0,0.0,-0.3,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12214091,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12214098,20.0,12.0,12.0,12.0,12.0,-8.0,-8.0,-8.0,-8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.33,,,,,,keep_minor_change
Q2,E12214107,20.0,10.0,10.0,10.0,10.0,-10.0,-10.0,-10.0,-10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.11,,,,,,keep_minor_change
Q2,E12214171,20.0,19.0,18.7,18.7,18.7,-1.0,-1.3,-1.3,-1.3,1.3,1.3,-0.3,0.0,0.0,0.0,-0.3,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,
Q2,E12214212,14.0,2.0,2.0,2.0,2.0,-12.0,-12.0,-12.0,-12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.89,,,,,,keep_minor_change
Q2,E12314005,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314009,15.0,2.0,2.0,2.0,2.0,-13.0,-13.0,-13.0,-13.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.89,,,,,,keep_minor_change
Q2,E12314017,19.0,8.0,8.7,8.7,8.7,-11.0,-10.3,-10.3,-10.3,10.3,10.3,0.7,0.0,0.0,0.0,0.7,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.9428,0.0,,,,,,reject_lower
Q2,E12314021,18.0,16.0,17.3,17.3,17.3,-2.0,-0.7,-0.7,-0.7,0.7,0.7,1.3,0.0,0.0,0.0,1.3,BND,False,False,False,calculation_derivation,True,False,model_avg,model_avg_score,0.9428,0.0,,,,,,reject_lower
Q2,E12314025,20.0,18.0,18.0,18.0,18.0,-2.0,-2.0,-2.0,-2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,POS,False,False,True,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,
Q2,E12314029,20.0,13.0,13.0,13.0,13.0,-7.0,-7.0,-7.0,-7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.0,0.0,,,,,,keep_minor_change
Q2,E12314033,20.0,16.0,16.7,16.7,16.7,-4.0,-3.3,-3.3,-3.3,3.3,3.3,0.7,0.0,0.0,0.0,0.7,BND,True,True,False,calculation_derivation,True,False,model_avg,model_avg_score,0.4714,0.0,,,,,,keep_minor_change
