question_id,answer_id,review_priority,candidate_type,teacher_score,reference_score_key,reference_score,teacher_minus_reference,absolute_difference,candidate_threshold,centered_residual,outlier_threshold,candidate_reasons,question_median_residual,question_systematic_bias,max_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,route,std_dev,extraction_quality,U_E,U_S,U_R,confounds,human_decision,corrected_score,review_note,raw_text,student_image
CPL_1,ANS_CPL_20,P2,possible_teacher_over_score,5.0,three_way_core_score,0.4,4.6,4.6,1.0,4.6,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,0.4,0.4,0.4,0.4,NEG,0.5893,low,0.75,1.0,0.833333,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,3454,data/csbench/student_images/CPL_1/ANS_CPL_20.jpg
CPL_1,ANS_CPL_42,P2,possible_teacher_over_score,5.0,three_way_core_score,0.8,4.2,4.2,1.0,4.2,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,0.8,0.8,0.8,0.8,NEG,0.5893,low,0.75,1.0,0.75,extraction_risk|rubric_mapping_risk|unstable_model_judgements,,,,3454,data/csbench/student_images/CPL_1/ANS_CPL_42.jpg
CPL_1,ANS_CPL_01,P2,possible_teacher_over_score,5.0,three_way_core_score,1.1,3.9,3.9,1.0,3.9,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.1,2.1,1.1,1.1,BND,0.5893,low,0.5,1.0,0.666667,extraction_risk|rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,答：3 4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_01.jpg
CPL_1,ANS_CPL_02,P2,possible_teacher_over_score,5.0,three_way_core_score,2.7,2.3,2.3,1.0,2.3,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,1.7,1.7,2.7,2.7,BND,0.5893,low,0.5,1.0,0.5,extraction_risk|rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,, 3 4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_02.jpg
CPL_1,ANS_CPL_46,P2,possible_teacher_over_score,5.0,three_way_core_score,2.7,2.3,2.3,1.0,2.3,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,1.7,1.7,2.7,2.7,BND,0.5893,low,0.5,1.0,0.666667,extraction_risk|rubric_mapping_risk|a3wa_changed_score_materially|unstable_model_judgements,,,,3 4 5 4 ,data/csbench/student_images/CPL_1/ANS_CPL_46.jpg
CPL_1,ANS_CPL_06,P2,possible_teacher_over_score,4.0,three_way_core_score,2.5,1.5,1.5,1.0,1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.5,2.5,2.5,2.5,POS,0.0,high,0.0,0.0,0.0,,,,,3 3 45,data/csbench/student_images/CPL_1/ANS_CPL_06.jpg
CPL_1,ANS_CPL_10,P2,possible_teacher_over_score,4.0,three_way_core_score,2.5,1.5,1.5,1.0,1.5,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,2.5,2.5,2.5,2.5,BND,0.0,low,0.5,0.0,0.5,extraction_risk|rubric_mapping_risk,,,,4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_10.jpg
CPL_1,ANS_CPL_31,P2,possible_teacher_over_score,5.0,three_way_core_score,3.9,1.1,1.1,1.0,1.1,1.0,absolute_disagreement|within_question_outlier,0.0,False,5.0,3.9,3.9,3.9,3.9,POS,0.198,high,0.0,0.42,0.0,,,,,3 4 5 4,data/csbench/student_images/CPL_1/ANS_CPL_31.jpg
CPL_3,ANS_CPL_126,P2,possible_teacher_over_score,8.0,three_way_core_score,5.0,3.0,3.0,1.5,3.0,1.5,absolute_disagreement|within_question_outlier,0.0,False,10.0,7.0,7.0,5.0,5.0,BND,1.4142,high,0.0,1.0,0.1,a3wa_changed_score_materially|unstable_model_judgements,,,,"row:90 col:30 row:30 col:24 row:25: col:33 row:30 col:24 56, row:21, col:117",data/csbench/student_images/CPL_3/ANS_CPL_126.jpg
CPL_3,ANS_CPL_130,P2,possible_teacher_over_score,2.0,three_way_core_score,0.0,2.0,2.0,1.5,2.0,1.5,absolute_disagreement|within_question_outlier,0.0,False,10.0,0.0,0.0,0.0,0.0,NEG,0.0,low,1.0,0.0,1.0,extraction_risk|rubric_mapping_risk,,,,"6,row:21,col:17",data/csbench/student_images/CPL_3/ANS_CPL_130.jpg
