qid,sid,teacher,avg,final,diff_avg,diff_final,gain,route,gate,accepted,a3_reason,hard_neg,rules,mu,lenient,unsupported_high,result_strong,result_correct,method,direct_ratio,direct_awarded,bare_answer
Q6,E01914214_Q6,3.0,2.0,2.0,-1.0,-1.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.796364,0.0064,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E01914115_Q6,6.0,8.0,8.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.83356,0.0501,0.0,0.35,0.35,0.35,0.0,0.0,0.2275
Q6,E01914290_Q6,0.0,2.0,2.0,2.0,2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.863636,0.0088,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E02014181_Q6,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.781818,0.007,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12214006_Q6,6.0,4.3,4.3,-1.7,-1.7,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.797449,0.0247,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,E12214023_Q6,12.0,6.0,6.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.836364,0.046,0.0,0.3,0.3,0.3,0.0,0.0,0.21
Q6,E12214062_Q6,4.0,4.0,4.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.838182,0.0263,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,E12214075_Q6,10.0,8.3,8.3,-1.7,-1.7,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.878358,0.0733,0.0,0.4,0.4,0.4,0.0,0.0,0.24
Q6,E12214091_Q6,11.0,3.0,3.0,-8.0,-8.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.806364,0.0137,0.0,0.15,0.15,0.15,0.0,0.0,0.1275
Q6,E12214107_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,E12214098_Q6,9.0,7.0,7.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.84,0.0557,0.0,0.35,0.35,0.35,0.0,0.0,0.2275
Q6,E12214171_Q6,6.0,4.3,4.3,-1.7,-1.7,0.0,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,,0.797449,0.0247,0.0,0.2,0.2,0.2,0.0,0.0,0.16
Q6,E12214212_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q6,E12314005_Q6,20.0,16.0,16.0,-4.0,-4.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.93,0.035,0.16,0.8,0.8,0.8,0.0,0.0,0.16
Q6,E12314009_Q6,4.0,2.0,2.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.828182,0.0074,0.0,0.1,0.1,0.1,0.0,0.0,0.09
Q6,E12314013_Q6,4.0,3.0,3.0,-1.0,-1.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.806364,0.0137,0.0,0.15,0.15,0.15,0.0,0.0,0.1275
Q6,E12314017_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.82,0.0325,0.0,0.25,0.25,0.25,0.0,0.0,0.1875
Q6,E12314021_Q6,20.0,15.0,15.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.92,0.0604,0.1406,0.75,0.75,0.75,0.0,0.0,0.1875
