question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_first_diff,model_avg_diff,selected_baseline_diff,final_calibrated_diff,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,selected_change,final_change_vs_avg,route,boundary_action,baseline_policy,baseline_score_source,task_type,upper_consensus_eligible,result_correctness_signal,method_evidence_signal,lenient_undercredit_signal,unsupported_high_score_risk,rule_hits
Q6,E01914214,3.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.007,0.0,
Q6,E01914290,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.0088,0.0,
Q6,E02014181,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.007,0.0,
Q6,E01914115,6.0,7.0,8.7,10.0,10.0,1.0,2.7,4.0,4.0,-1.3,0.0,-1.3,worsened,worsened,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.6,0.6,0.1512,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12214006,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0252,0.0,
Q6,E12214023,12.0,5.0,5.0,5.0,5.0,-7.0,-7.0,-7.0,-7.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.25,0.25,0.0341,0.0,
Q6,E12214075,10.0,8.0,8.0,8.0,8.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.4,0.4,0.0788,0.0,stable_undercredit_review
Q6,E12214062,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0263,0.0,
Q6,E12214091,11.0,2.0,2.0,2.0,2.0,-9.0,-9.0,-9.0,-9.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.007,0.0,
Q6,E12214098,9.0,7.0,7.0,7.0,7.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.35,0.35,0.0557,0.0,
Q6,E12214107,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0252,0.0,
Q6,E12214212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.0,0.0,0.0,0.0,
Q6,E12214171,6.0,4.0,4.0,4.0,4.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.0252,0.0,
Q6,E12314005,20.0,16.0,16.0,16.0,16.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.8,0.8,0.035,0.16,high_score_safety_review
Q6,E12314009,4.0,2.0,2.0,2.0,2.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.0074,0.0,
Q6,E12314013,4.0,3.0,3.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,NEG,,model_avg,model_avg_score,calculation_derivation,True,0.15,0.15,0.0137,0.0,
Q6,E12314017,10.0,5.0,5.3,5.3,5.3,-5.0,-4.7,-4.7,-4.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.25,0.25,0.0317,0.0,
Q6,E12314021,20.0,18.0,18.0,18.0,18.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.9,0.9,0.0,0.09,
Q6,E12314029,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,NEG,,model_avg,model_avg_score,calculation_derivation,True,0.2,0.2,0.022,0.0,
Q6,E12314025,14.0,9.0,9.3,10.0,10.0,-5.0,-4.7,-4.0,-4.0,0.7,0.0,0.7,improved,improved,BND,reject_raise,upper_consensus_strict,max_of_three,calculation_derivation,True,0.55,0.55,0.1154,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314037,20.0,10.0,12.0,13.0,13.0,-10.0,-8.0,-7.0,-7.0,1.0,0.0,1.0,improved,improved,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.9,0.9,0.2299,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314033,18.0,13.0,13.7,15.0,15.0,-5.0,-4.3,-3.0,-3.0,1.3,0.0,1.3,improved,improved,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.95,0.95,0.1721,0.0,lenient_undercredit_review;high_score_safety_review
Q6,E12314045,10.0,5.0,5.0,5.0,5.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.25,0.25,0.0341,0.0,
Q6,E12314041,14.0,8.0,8.0,8.0,8.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.4,0.4,0.0669,0.0,stable_undercredit_review
Q6,E12314049,14.0,9.0,9.0,10.0,10.0,-5.0,-5.0,-4.0,-4.0,1.0,0.0,1.0,improved,improved,BND,reject_raise,upper_consensus_strict,max_of_three,calculation_derivation,True,0.55,0.55,0.1199,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314053,14.0,9.0,8.7,9.0,9.0,-5.0,-5.3,-5.0,-5.0,0.3,0.0,0.3,improved,improved,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.65,0.65,0.1882,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314057,5.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.3,0.3,0.0501,0.0,
Q6,E12314065,14.0,8.0,8.3,9.0,9.0,-6.0,-5.7,-5.0,-5.0,0.7,0.0,0.7,improved,improved,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.4,0.4,0.0676,0.0,stable_undercredit_review
Q6,E12314061,14.0,10.0,11.0,12.0,12.0,-4.0,-3.0,-2.0,-2.0,1.0,0.0,1.0,improved,improved,BND,keep_minor_change,upper_consensus_strict,max_of_three,calculation_derivation,True,0.65,0.65,0.1309,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314069,19.0,14.0,14.0,14.0,14.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.7,0.7,0.0774,0.147,
Q6,E12314073,8.0,6.0,6.0,6.0,6.0,-2.0,-2.0,-2.0,-2.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.3,0.3,0.0491,0.0,
Q6,E12314077,14.0,10.0,11.0,13.0,13.0,-4.0,-3.0,-1.0,-1.0,2.0,0.0,2.0,improved,improved,BND,reject_raise,upper_consensus_strict,max_of_three,calculation_derivation,True,0.5,0.5,0.0728,0.0,stable_undercredit_review
Q6,E12314081,14.0,13.0,13.0,13.0,13.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.9,0.9,0.1839,0.0,lenient_undercredit_review
Q6,E12314085,9.0,6.0,6.0,6.0,6.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.3,0.3,0.044,0.0,
Q6,E12314089,6.0,5.0,5.0,5.0,5.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.25,0.25,0.0341,0.0,
Q6,E12314093,4.0,4.0,4.7,4.7,4.7,0.0,0.7,0.7,0.7,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.3,0.3,0.0594,0.0,
Q6,E12314097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.0,0.0,0.0,0.0,
Q6,E12314101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.0,0.0,0.0,0.0,
Q6,E12314105,12.0,8.0,8.0,8.0,8.0,-4.0,-4.0,-4.0,-4.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.6,0.6,0.1706,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314109,3.0,2.0,2.3,2.3,2.3,-1.0,-0.7,-0.7,-0.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.0068,0.0,
Q6,E12314113,3.0,2.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.0082,0.0,
Q6,E12314117,8.0,2.0,2.0,2.0,2.0,-6.0,-6.0,-6.0,-6.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.007,0.0,
Q6,E12314125,2.0,2.0,2.7,2.7,2.7,0.0,0.7,0.7,0.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.0061,0.0,
Q6,E12314121,10.0,5.0,7.7,7.7,7.7,-5.0,-2.3,-2.3,-2.3,0.0,0.0,0.0,same,same,BND,reject_lower,model_avg,model_avg_score,calculation_derivation,True,0.25,0.25,0.0264,0.0,
Q6,E12314129,11.0,6.0,6.0,6.0,6.0,-5.0,-5.0,-5.0,-5.0,0.0,0.0,0.0,same,same,POS,,model_avg,model_avg_score,calculation_derivation,True,0.3,0.3,0.0542,0.0,
Q6,E12314133,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.0073,0.0,
Q6,E12314137,6.0,4.0,5.3,5.3,5.3,-2.0,-0.7,-0.7,-0.7,0.0,0.0,0.0,same,same,BND,reject_raise,model_avg,model_avg_score,calculation_derivation,True,0.45,0.45,0.1272,0.0,lenient_undercredit_review;stable_undercredit_review
Q6,E12314145,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.1,0.1,0.007,0.0,
Q6,E12314149,14.0,11.0,11.0,11.0,11.0,-3.0,-3.0,-3.0,-3.0,0.0,0.0,0.0,same,same,BND,keep_minor_change,model_avg,model_avg_score,calculation_derivation,True,0.8,0.8,0.218,0.0,lenient_undercredit_review;stable_undercredit_review
