question,student_id,teacher,single,avg,selected,final_3wd,diff_final,abs_error_final,gain_3wd_vs_avg,gain_3wd_vs_selected,route,baseline_policy,boundary_action,diagnosis
Q4,E01914115,6.0,11.0,11.0,11.0,11.0,5.0,5.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;overestimate;bnd_no_score_change;q4_overcredit;structure_missing_review
Q4,E12214023,13.0,12.0,12.2,12.5,12.5,-0.5,0.5,0.3,0.0,BND,upper_consensus_strict,keep_minor_change,bnd_no_score_change;selected_better_than_avg;structure_missing_review
Q4,E12214062,12.0,15.0,15.7,17.0,17.0,5.0,5.0,-1.3,0.0,BND,upper_consensus_strict,reject_lower,serious_error;overestimate;bnd_no_score_change;selected_worse_than_avg;q4_overcredit;high_score_safety_review
Q4,E12214075,17.0,17.0,17.0,17.0,17.0,0.0,0.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q4,E12214107,15.0,16.0,16.0,16.0,16.0,1.0,1.0,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;structure_missing_review;high_score_safety_review
Q4,E12214171,15.0,19.0,19.0,19.0,19.0,4.0,4.0,0.0,0.0,POS,model_avg,,serious_error;overestimate;pos_missed_risk;q4_overcredit;structure_missing_review
Q4,E12314005,13.0,11.0,11.3,11.5,11.5,-1.5,1.5,0.2,0.0,BND,upper_consensus_strict,keep_minor_change,bnd_no_score_change;selected_better_than_avg
Q4,E12314013,6.0,8.0,8.7,8.7,8.7,2.7,2.7,0.0,0.0,POS,model_avg,,serious_error;overestimate;pos_missed_risk;q4_overcredit
Q4,E12314021,17.0,19.0,18.8,18.8,18.8,1.8,1.8,0.0,0.0,POS,model_avg,,ok_or_minor
Q4,E12314025,20.0,20.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q4,E12314029,20.0,16.0,18.0,18.0,18.0,-2.0,2.0,0.0,0.0,BND,model_avg,reject_lower,bnd_no_score_change;high_score_safety_review
Q4,E12314041,8.0,10.0,10.3,11.0,11.0,3.0,3.0,-0.7,0.0,BND,upper_consensus_strict,keep_minor_change,serious_error;overestimate;bnd_no_score_change;selected_worse_than_avg;q4_overcredit
Q4,E12314049,15.0,16.0,16.7,16.7,16.7,1.7,1.7,0.0,0.0,BND,model_avg,keep_minor_change,bnd_no_score_change;high_score_safety_review
Q4,E12314053,20.0,16.0,16.0,16.0,16.0,-4.0,4.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q4_undercredit;high_score_safety_review
Q4,E12314057,14.0,16.0,15.3,16.0,14.6,0.6,0.6,0.7,1.4,BND,upper_consensus_strict,small_lower,bnd_improved;selected_worse_than_avg;structure_missing_review;high_score_safety_review
Q4,E12314061,17.0,19.0,19.0,19.0,19.0,2.0,2.0,0.0,0.0,POS,model_avg,,ok_or_minor
Q4,E12314081,17.0,14.0,14.0,14.0,14.0,-3.0,3.0,0.0,0.0,BND,model_avg,keep_minor_change,serious_error;underestimate;bnd_no_score_change;q4_undercredit
