question,student_id,teacher_score,model_avg_score,selected_baseline_score,final_calibrated_score,diff_final_minus_teacher,abs_error,route,blank_rate,unwritten_count,boundary_action,baseline_policy,facts_brief,diagnosis
Q2,E12314041_Q2,18.0,2.0,2.0,2.0,-16.0,16.0,POS,0.0,0,,model_avg,"{""1"": ""A.D.C.E.B"", ""2"": ""1111"", ""3"": ""1001"", ""4"": ""1100"", ""5"": ""1110"", ""6"": ""1010"", ""7-1"": ""A.中断 A结束"", ""7-2"": ""D.E中断"", ""7-3"": ""C结束 B.E结束""}",severe_underestimate;equivalent_expression_or_diagram_not_credited;q2_extreme_visual_or_rubric_mismatch
Q2,E12314089_Q2,15.0,0.0,0,0.0,-15.0,15.0,BND,0.89,0,keep_minor_change,model_avg,"{""1"": ""B E C D A"", ""2"": ""未书写"", ""3"": ""未书写"", ""4"": ""未书写"", ""5"": ""未书写"", ""6"": ""未书写"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;high_extraction_blank;q2_extreme_visual_or_rubric_mismatch;bnd_no_effect;gate_keep_minor_change
Q2,E01914290_Q2,15.0,2.0,2.0,2.0,-13.0,13.0,BND,0.56,0,keep_minor_change,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""B＜C DE"", ""3"": ""无屏蔽字"", ""4"": ""未书写"", ""5"": ""B、C、D、E"", ""6"": ""未书写"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;high_extraction_blank;q2_extreme_visual_or_rubric_mismatch;bnd_no_effect;gate_keep_minor_change
Q2,E12314009_Q2,15.0,2.0,2.0,2.0,-13.0,13.0,BND,0.89,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""未书写"", ""3"": ""未书写"", ""4"": ""未书写"", ""5"": ""未书写"", ""6"": ""未书写"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;high_extraction_blank;q2_extreme_visual_or_rubric_mismatch;bnd_no_effect;gate_keep_minor_change
Q2,E12314125_Q2,15.0,2.0,2.0,2.0,-13.0,13.0,BND,0.89,0,keep_minor_change,model_avg,"{""1"": ""A＞D＞C＞E＞B"", ""2"": ""未书写"", ""3"": ""未书写"", ""4"": ""未书写"", ""5"": ""未书写"", ""6"": ""未书写"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;high_extraction_blank;q2_extreme_visual_or_rubric_mismatch;bnd_no_effect;gate_keep_minor_change
Q2,E12314129_Q2,15.0,2.0,2.0,2.0,-13.0,13.0,BND,0.89,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""未书写"", ""3"": ""未书写"", ""4"": ""未书写"", ""5"": ""未书写"", ""6"": ""未书写"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;high_extraction_blank;q2_extreme_visual_or_rubric_mismatch;bnd_no_effect;gate_keep_minor_change
Q2,E12314221_Q2,15.0,2.0,2.0,2.0,-13.0,13.0,BND,0.67,0,keep_minor_change,model_avg,"{""1"": ""A.D.C.E.B"", ""2"": ""B、C、E、D"", ""3"": ""不屏蔽"", ""4"": ""未书写"", ""5"": ""未书写"", ""6"": ""未书写"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;high_extraction_blank;q2_extreme_visual_or_rubric_mismatch;bnd_no_effect;gate_keep_minor_change
Q2,E12214212_Q2,14.0,2.0,2.0,2.0,-12.0,12.0,BND,0.89,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""未书写"", ""3"": ""未书写"", ""4"": ""未书写"", ""5"": ""未书写"", ""6"": ""未书写"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;high_extraction_blank;bnd_no_effect;gate_keep_minor_change
Q2,E12314217_Q2,20.0,8.0,8.0,8.0,-12.0,12.0,BND,0.33,0,keep_minor_change,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""11111"", ""3"": ""01000"", ""4"": ""01110"", ""5"": ""01111"", ""6"": ""01010"", ""7-1"": ""未书写"", ""7-2"": ""未书写"", ""7-3"": ""未书写""}",severe_underestimate;medium_extraction_blank;bnd_no_effect;gate_keep_minor_change
Q2,E12314017_Q2,19.0,8.7,8.7,8.7,-10.3,10.3,BND,0.0,0,reject_lower,model_avg,"{""1"": ""A>D>C>E>B"", ""2"": ""1111"", ""3"": ""0111"", ""4"": ""0011"", ""5"": ""0001"", ""6"": ""00001"", ""7-1"": ""A→B→C"", ""7-2"": ""D→E"", ""7-3"": ""处理完D后返回到B中断，处理完C后返回到B中断""}",severe_underestimate;equivalent_expression_or_diagram_not_credited;bnd_no_effect;gate_reject_lower
