question,student_id,teacher,single_first_score,model_avg_score,selected_baseline_score,final_calibrated_score,single_diff,avg_diff,selected_diff,final_diff,selected_abs_error,final_abs_error,avg_gain_vs_single,selected_gain_vs_avg,final_gain_vs_selected,final_gain_vs_avg,final_gain_vs_single,route,baseline_serious_error,risk_captured_by_route,safe_pos,task_type,complex_derivation_task,upper_consensus_eligible,baseline_policy,baseline_score_source,std_dev,blank_rate,U_E,U_S,U_R,primary_risk,primary_mu,boundary_action
CO_1,ANS,5.0,3.5,3.5,3.5,4.2,-1.5,-1.5,-1.5,-0.8,1.5,0.8,0.0,0.0,0.7,0.7,0.7,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,medium_raise
CO_1,ANS,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change
CO_1,ANS,2.0,3.5,3.5,3.5,3.5,1.5,1.5,1.5,1.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change
CO_1,ANS,5.0,4.55,4.5,4.5,4.5,-0.45,-0.5,-0.5,-0.5,0.5,0.5,-0.05,0.0,0.0,0.0,-0.05,POS,False,False,True,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
CO_1,ANS,5.0,3.5,3.2,3.2,3.2,-1.5,-1.8,-1.8,-1.8,1.8,1.8,-0.3,0.0,0.0,0.0,-0.3,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.3536,0.0,0.0,0.75,0.0,0.25,0.75,reject_lower
CO_1,ANS,1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change
CO_1,ANS,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change
CO_1,ANS,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.33,0.3,0.0,0.3,0.2,0.8,keep_minor_change
CO_1,ANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.67,0.7,0.0,0.7,0.466667,0.533333,keep_minor_change
CO_1,ANS,2.0,2.0,1.6,1.6,1.6,0.0,-0.4,-0.4,-0.4,0.4,0.4,-0.4,0.0,0.0,0.0,-0.4,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.2828,0.33,0.3,0.6,0.3,0.4,0.6,reject_raise
CO_1,ANS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BND,False,False,False,calculation_derivation,True,True,model_avg,model_avg_score,0.0,0.0,0.0,0.0,0.0,0.0,1.0,keep_minor_change
