"question_id","answer_id","review_priority","candidate_type","teacher_score","reference_score_key","reference_score","teacher_minus_reference","absolute_difference","candidate_threshold","centered_residual","outlier_threshold","candidate_reasons","question_median_residual","question_systematic_bias","max_score","model_avg_score","selected_baseline_score","three_way_core_score","final_calibrated_score","route","std_dev","extraction_quality","U_E","U_S","U_R","confounds","human_decision","corrected_score","review_note","raw_text","student_image"
"CO_1","ANS_CO_03","P2","possible_teacher_over_score","1.0","model_avg_score","0.0","1.0","1.0","1.0","1.0","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","0.0","0.0","0.0","0.0","POS","0.0","high","0.0","0.0","0.0","","","","","A=||0||
I=1
OP=0
所求=06","data/csbench/student_images/CO_1/ANS_CO_03.jpg"
"CO_1","ANS_CO_06","P2","possible_teacher_under_score","1.0","model_avg_score","2.0","-1.0","1.0","1.0","-1.0","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","2.0","2.0","2.0","2.0","POS","0.0","high","0.0","0.0","0.0","","","","","解：机器码DE 1101 1110 地址字段110111=1 OP=0 易知指令是指向地址为04H的间接寻址。操作数内容为05H","data/csbench/student_images/CO_1/ANS_CO_06.jpg"
"CO_1","ANS_CO_07","P2","possible_teacher_under_score","2.0","model_avg_score","3.0","-1.0","1.0","1.0","-1.0","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","3.0","3.0","2.0","2.0","BND","0.7071","high","0.0","1.0","0.333333","a3wa_changed_score_materially|unstable_model_judgements","","","","解: 由机器码(DE)A=(11011110)₂ 可知
A=11011 I=1 OP=0
∴为间接寻址
A=(10111)₂=(37)16
内容为34","data/csbench/student_images/CO_1/ANS_CO_07.jpg"
"CO_1","ANS_CO_118","P2","possible_teacher_under_score","2.0","model_avg_score","3.5","-1.5","1.5","1.0","-1.5","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","3.5","3.5","3.5","3.5","BND","0.0","high","0.3","0.0","0.3","","","","","∵ I=1 ∴ A=110111为操作数的储存地址 
∴ 十进制数为 34H","data/csbench/student_images/CO_1/ANS_CO_118.png"
"CO_1","ANS_CO_121","P2","possible_teacher_under_score","1.0","model_avg_score","2.0","-1.0","1.0","1.0","-1.0","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","2.0","2.0","2.0","2.0","BND","0.0","high","0.3","0.0","0.3","","","","","地址字段 A: 110 111
I=1, A中为操作数地址.
∴操作数为 38","data/csbench/student_images/CO_1/ANS_CO_121.png"
"CO_1","ANS_CO_126","P2","possible_teacher_over_score","5.0","model_avg_score","1.2","3.8","3.8","1.0","3.8","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","1.2","1.5","1.5","1.5","BND","0.2357","high","0.4","0.5","0.6","rubric_mapping_risk","","","","11011110
I=1 间接寻址
故 37→34→37
7到2位为
10111
即37H","data/csbench/student_images/CO_1/ANS_CO_126.png"
"CO_1","ANS_CO_127","P2","possible_teacher_over_score","2.0","model_avg_score","0.7","1.3","1.3","1.0","1.3","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","0.7","1.0","0.25","0.25","BND","0.4714","high","0.4","1.0","0.6","rubric_mapping_risk","","","","11011110
11011=37H.
∴内容为34.","data/csbench/student_images/CO_1/ANS_CO_127.png"
"CO_1","ANS_CO_128","P2","possible_teacher_under_score","0.0","model_avg_score","1.7","-1.7","1.7","1.0","-1.7","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","1.7","1.7","1.7","1.7","BND","2.357","high","0.0","1.0","0.3","unstable_model_judgements","","","","11011110  I=1为间接地址
地址字段为011110=35.
操作数为36.","data/csbench/student_images/CO_1/ANS_CO_128.png"
"CO_1","ANS_CO_130","P2","possible_teacher_under_score","0.0","model_avg_score","1.7","-1.7","1.7","1.0","-1.7","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","1.7","1.7","1.7","1.7","BND","2.357","high","0.3","1.0","0.533333","rubric_mapping_risk|unstable_model_judgements","","","","101111=37(十六进制)]
I=1.
∴内容为58(十六进制)","data/csbench/student_images/CO_1/ANS_CO_130.png"
"CO_1","ANS_CO_132","P1","possible_teacher_under_score","2.0","model_avg_score","5.0","-3.0","3.0","1.0","-3.0","1.0","absolute_disagreement|within_question_outlier","0.0","False","5.0","5.0","5.0","5.0","5.0","POS","0.0","high","0.0","0.0","0.0","","","","","DE = 11011110 
op为0 I为1 所以进行间接寻址 A为0010111 为37H ∴该指令的操作数内容为37H","data/csbench/student_images/CO_1/ANS_CO_132.png"
