qid,sid,teacher,avg,final,diff_avg,diff_final,gain,route,gate,accepted,a3_reason,hard_neg,rules,mu,lenient,unsupported_high,result_strong,direct
Q6,E01914214_Q6,3.0,2.0,2.0,-1.0,-1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.775455,0.0067,0.0,0.1,0.0
Q6,E01914290_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0,0.0,0.0,0.0
Q6,E01914115_Q6,6.0,7.0,7.0,1.0,1.0,0.0,BND,reject_lower,False,beta_lt_confidence_lt_alpha,,,0.82356,0.04,0.0,0.3,0.0
Q6,E02014181_Q6,2.0,2.0,2.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.781818,0.007,0.0,0.1,0.0
Q6,E12214006_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.0
Q6,E12214023_Q6,12.0,4.0,4.0,-8.0,-8.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.816364,0.0231,0.0,0.2,0.0
Q6,E12214062_Q6,4.0,4.0,4.0,0.0,0.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.0
Q6,E12214075_Q6,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.889091,0.0788,0.0,0.4,0.0
Q6,E12214091_Q6,11.0,3.0,3.0,-8.0,-8.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.806364,0.0137,0.0,0.15,0.0
Q6,E12214098_Q6,9.0,8.0,8.0,-1.0,-1.0,0.0,BND,reject_lower,False,beta_lt_confidence_lt_alpha,,,0.816894,0.0501,0.0,0.35,0.0
Q6,E12214171_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.0
Q6,E12214107_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.801818,0.0252,0.0,0.2,0.0
Q6,E12214212_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.85,0.0,0.0,0.0,0.0
Q6,E12314009_Q6,4.0,2.3,2.3,-1.7000000000000002,-1.7000000000000002,0.0,BND,reject_raise,False,beta_lt_confidence_lt_alpha,,,0.823813,0.0073,0.0,0.1,0.0
Q6,E12314005_Q6,20.0,13.0,13.0,-7.0,-7.0,0.0,BND,keep_minor_change,False,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.9,0.0872,0.0,0.65,0.0
Q6,E12314013_Q6,4.0,3.0,3.0,-1.0,-1.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.812727,0.0143,0.0,0.15,0.0
Q6,E12314017_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,NEG,NO_GATE,NO_GATE,hard_neg:semantic_risk_too_high,semantic_risk_too_high,,0.82,0.0325,0.0,0.25,0.0
Q6,E12314025_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.856364,0.0699,0.0,0.4,0.0
Q6,E12314021_Q6,20.0,15.0,15.0,-5.0,-5.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.92,0.0604,0.1406,0.75,0.0
Q6,E12314033_Q6,18.0,9.0,9.0,-9.0,-9.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.86,0.077,0.0,0.45,0.0
Q6,E12314029_Q6,4.0,4.3,5.0,0.2999999999999998,1.0,-0.7000000000000002,BND,small_raise,True,beta_lt_confidence_lt_alpha,,,0.815328,0.0226,0.0,0.2,0.0
Q6,E12314041_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.862727,0.0728,0.0,0.4,0.0
Q6,E12314045_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,BND,keep_minor_change,False,beta_lt_confidence_lt_alpha,,,0.826364,0.0341,0.0,0.25,0.0
Q6,E12314037_Q6,20.0,12.3,15.3,-7.699999999999999,-4.699999999999999,3.0,BND,medium_raise,True,high_confidence_lenient_undercredit_review,,lenient_undercredit_review,0.887252,0.2161,0.0,0.5,0.0
Q6,E12314049_Q6,14.0,8.7,8.7,-5.300000000000001,-5.300000000000001,0.0,POS,NO_GATE,NO_GATE,confidence_ge_alpha,,,0.847929,0.0617,0.0,0.4,0.0
