question_id,answer_id,review_priority,candidate_type,teacher_score,reference_score_key,reference_score,teacher_minus_reference,absolute_difference,candidate_threshold,centered_residual,outlier_threshold,candidate_reasons,question_median_residual,question_systematic_bias,max_score,model_avg_score,selected_baseline_score,three_way_core_score,final_calibrated_score,route,std_dev,extraction_quality,U_E,U_S,U_R,confounds,human_decision,corrected_score,review_note,raw_text,student_image
ML_1,ANS_ML_35,P1,possible_teacher_over_score,4.0,three_way_core_score,1.2,2.8,2.8,2.0,0.95,2.0,absolute_disagreement,1.85,True,4.0,1.2,1.2,1.2,1.2,POS,0.2357,high,0.0,0.625,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_35.jpg
ML_1,ANS_ML_45,P1,possible_teacher_over_score,4.0,three_way_core_score,1.2,2.8,2.8,2.0,0.95,2.0,absolute_disagreement,1.85,True,4.0,1.2,1.2,1.2,1.2,POS,0.2357,high,0.0,0.625,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_45.jpg
ML_1,ANS_ML_48,P1,possible_teacher_over_score,4.0,three_way_core_score,1.3,2.7,2.7,2.0,0.85,2.0,absolute_disagreement,1.85,True,4.0,1.3,1.3,1.3,1.3,POS,0.2357,high,0.0,0.625,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_48.jpg
ML_1,ANS_ML_50,P1,possible_teacher_over_score,4.0,three_way_core_score,1.3,2.7,2.7,2.0,0.85,2.0,absolute_disagreement,1.85,True,4.0,1.3,1.3,1.3,1.3,POS,0.2357,high,0.0,0.625,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_50.jpg
ML_1,ANS_ML_39,P1,possible_teacher_over_score,4.0,three_way_core_score,1.5,2.5,2.5,2.0,0.65,2.0,absolute_disagreement,1.85,True,4.0,1.5,1.5,1.5,1.5,POS,0.0,high,0.0,0.0,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_39.jpg
ML_1,ANS_ML_54,P1,possible_teacher_over_score,4.0,three_way_core_score,1.6,2.4,2.4,2.0,0.55,2.0,absolute_disagreement,1.85,True,4.0,1.6,1.6,1.6,1.6,POS,0.1179,high,0.0,0.3125,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_54.jpg
ML_1,ANS_ML_04,P1,possible_teacher_over_score,4.0,three_way_core_score,1.8,2.2,2.2,2.0,0.35,2.0,absolute_disagreement,1.85,True,4.0,1.8,1.8,1.8,1.8,POS,0.2357,high,0.0,0.625,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_04.jpg
ML_1,ANS_ML_22,P1,possible_teacher_over_score,4.0,three_way_core_score,1.8,2.2,2.2,2.0,0.35,2.0,absolute_disagreement,1.85,True,4.0,1.8,1.8,1.8,1.8,POS,0.2357,high,0.0,0.625,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_22.jpg
ML_1,ANS_ML_29,P1,possible_teacher_over_score,4.0,three_way_core_score,2.0,2.0,2.0,2.0,0.15,2.0,absolute_disagreement,1.85,True,4.0,2.0,2.0,2.0,2.0,POS,0.0,high,0.0,0.0,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_29.jpg
ML_1,ANS_ML_40,P1,possible_teacher_over_score,4.0,three_way_core_score,2.0,2.0,2.0,2.0,0.15,2.0,absolute_disagreement,1.85,True,4.0,2.0,2.0,2.0,2.0,POS,0.0,high,0.0,0.0,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_40.jpg
ML_1,ANS_ML_53,P1,possible_teacher_over_score,2.0,three_way_core_score,0.0,2.0,2.0,2.0,0.15,2.0,absolute_disagreement,1.85,True,4.0,0.0,0.0,0.0,0.0,POS,0.0,high,0.0,0.0,0.0,,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_53.jpg
ML_1,ANS_ML_32,P2,possible_teacher_over_score,4.0,three_way_core_score,0.3,3.7,3.7,2.0,1.85,2.0,absolute_disagreement,1.85,True,4.0,0.3,0.3,0.3,0.3,BND,0.4714,high,0.0,1.0,0.333333,unstable_model_judgements,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_32.jpg
ML_1,ANS_ML_38,P2,possible_teacher_over_score,4.0,three_way_core_score,0.3,3.7,3.7,2.0,1.85,2.0,absolute_disagreement,1.85,True,4.0,0.3,0.3,0.3,0.3,BND,0.4714,high,0.0,1.0,0.333333,unstable_model_judgements,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_38.jpg
ML_1,ANS_ML_03,P2,possible_teacher_over_score,4.0,three_way_core_score,0.5,3.5,3.5,2.0,1.65,2.0,absolute_disagreement,1.85,True,4.0,0.5,0.5,0.5,0.5,BND,0.7071,high,0.0,1.0,0.333333,unstable_model_judgements,,,,如图所示,data/csbench/student_images/ML_1/ANS_ML_03.jpg
