qid,sid,teacher,avg,final,diff_avg,diff_final,gain,route,a3_route,gate_action,gate_accepted,gate_reason,mu,risk,reason,rules,lenient,unsupported_high,result,result_strong,method,direct,blank,fatal
Q6,E01914115_Q6,6.0,7.0,7.0,1.0,1.0,0.0,BND,BND,reject_lower,False,lower_without_sufficient_unsupported_high_score_evidence,0.82356,0.17644,beta_lt_confidence_lt_alpha,,0.04,0.0,0.3,0.3,0.3,0.0,0.0,0.5667
Q6,E01914214_Q6,3.0,2.0,2.0,-1.0,-1.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.775455,0.224545,beta_lt_confidence_lt_alpha,,0.0067,0.0,0.1,0.1,0.1,0.0,0.36,0.7
Q6,E01914290_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,POS,,,,0.85,0.15,confidence_ge_alpha,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6,E02014181_Q6,2.0,2.0,2.0,0.0,0.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.781818,0.218182,beta_lt_confidence_lt_alpha,,0.007,0.0,0.1,0.1,0.1,0.0,0.45,0.6
Q6,E12214006_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.801818,0.198182,beta_lt_confidence_lt_alpha,,0.0252,0.0,0.2,0.2,0.2,0.0,0.45,0.5
Q6,E12214023_Q6,12.0,4.0,4.0,-8.0,-8.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.816364,0.183636,beta_lt_confidence_lt_alpha,,0.0231,0.0,0.2,0.2,0.2,0.0,0.09,0.7
Q6,E12214062_Q6,4.0,4.0,4.0,0.0,0.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.801818,0.198182,beta_lt_confidence_lt_alpha,,0.0252,0.0,0.2,0.2,0.2,0.0,0.45,0.5
Q6,E12214075_Q6,10.0,8.0,8.0,-2.0,-2.0,0.0,POS,POS,,,,0.889091,0.110909,confidence_ge_alpha,,0.0788,0.0,0.4,0.4,0.4,0.0,0.27,0.2
Q6,E12214098_Q6,9.0,8.0,8.0,-1.0,-1.0,0.0,BND,BND,reject_lower,False,lower_without_sufficient_unsupported_high_score_evidence,0.816894,0.183106,beta_lt_confidence_lt_alpha,,0.0501,0.0,0.35,0.35,0.35,0.0,0.0,0.6
Q6,E12214107_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.801818,0.198182,beta_lt_confidence_lt_alpha,,0.0252,0.0,0.2,0.2,0.2,0.0,0.45,0.5
Q6,E12214171_Q6,6.0,4.0,4.0,-2.0,-2.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.801818,0.198182,beta_lt_confidence_lt_alpha,,0.0252,0.0,0.2,0.2,0.2,0.0,0.45,0.5
Q6,E12214212_Q6,0.0,0.0,0.0,0.0,0.0,0.0,POS,POS,,,,0.85,0.15,confidence_ge_alpha,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Q6,E12314005_Q6,20.0,13.0,13.0,-7.0,-7.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.9,0.1,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.0872,0.0,0.65,0.65,0.65,0.0,0.0,0.35
Q6,E12314009_Q6,4.0,2.3,2.3,-1.7000000000000002,-1.7000000000000002,0.0,BND,BND,reject_raise,False,raise_without_sufficient_undercredit_evidence,0.823813,0.176187,beta_lt_confidence_lt_alpha,,0.0073,0.0,0.1,0.1,0.1,0.0,0.55,0.4167
Q6,E12314013_Q6,4.0,3.0,3.0,-1.0,-1.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.812727,0.187273,beta_lt_confidence_lt_alpha,,0.0143,0.0,0.15,0.15,0.15,0.0,0.18,0.65
Q6,E12314021_Q6,20.0,15.0,15.0,-5.0,-5.0,0.0,POS,POS,,,,0.92,0.08,confidence_ge_alpha,,0.0604,0.1406,0.75,0.75,0.75,0.0,0.0,0.25
Q6,E12314025_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,POS,,,,0.856364,0.143636,confidence_ge_alpha,,0.0699,0.0,0.4,0.4,0.4,0.0,0.09,0.5
Q6,E12314029_Q6,4.0,4.3,5.0,0.2999999999999998,1.0,-0.7000000000000002,BND,BND,small_raise,True,supported_undercredit_evidence,0.815328,0.184672,beta_lt_confidence_lt_alpha,,0.0226,0.0,0.2,0.2,0.2,0.0,0.09,0.65
Q6,E12314033_Q6,18.0,9.0,9.0,-9.0,-9.0,0.0,POS,POS,,,,0.86,0.14,confidence_ge_alpha,,0.077,0.0,0.45,0.45,0.45,0.0,0.0,0.55
Q6,E12314037_Q6,20.0,12.3,15.3,-7.699999999999999,-4.699999999999999,3.0,BND,BND,medium_raise,True,supported_lenient_undercredit_evidence,0.887252,0.112748,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.2161,0.0,0.9,0.5,0.9,0.0,0.0,0.2
Q6,E12314041_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,POS,,,,0.862727,0.137273,confidence_ge_alpha,,0.0728,0.0,0.4,0.4,0.4,0.0,0.18,0.4
Q6,E12314045_Q6,10.0,5.0,5.0,-5.0,-5.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.826364,0.173636,beta_lt_confidence_lt_alpha,,0.0341,0.0,0.25,0.25,0.25,0.0,0.09,0.65
Q6,E12314049_Q6,14.0,8.7,8.7,-5.300000000000001,-5.300000000000001,0.0,POS,POS,,,,0.847929,0.152071,confidence_ge_alpha,,0.0617,0.0,0.4,0.4,0.4,0.0,0.0,0.5
Q6,E12314053_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,POS,,,,0.85,0.15,confidence_ge_alpha,,0.0669,0.0,0.4,0.4,0.4,0.0,0.0,0.6
Q6,E12314057_Q6,5.0,6.0,6.0,1.0,1.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.821818,0.178182,beta_lt_confidence_lt_alpha,,0.0501,0.0,0.3,0.3,0.3,0.0,0.45,0.4
Q6,E12314061_Q6,14.0,10.7,10.7,-3.3000000000000007,-3.3000000000000007,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.885328,0.114672,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.1429,0.0,0.65,0.5,0.65,0.0,0.09,0.3
Q6,E12314065_Q6,14.0,8.0,8.0,-6.0,-6.0,0.0,POS,POS,,,,0.856364,0.143636,confidence_ge_alpha,,0.0699,0.0,0.4,0.4,0.4,0.0,0.09,0.5
Q6,E12314069_Q6,19.0,14.0,14.0,-5.0,-5.0,0.0,POS,POS,,,,0.91,0.09,confidence_ge_alpha,,0.0774,0.147,0.7,0.7,0.7,0.0,0.0,0.3
Q6,E12314073_Q6,8.0,6.0,6.0,-2.0,-2.0,0.0,POS,POS,,,,0.852727,0.147273,confidence_ge_alpha,,0.0491,0.0,0.3,0.3,0.3,0.0,0.18,0.45
Q6,E12314077_Q6,14.0,11.0,11.0,-3.0,-3.0,0.0,POS,POS,,,,0.86356,0.13644,confidence_ge_alpha,,0.0728,0.0,0.5,0.5,0.5,0.0,0.0,0.3667
Q6,E12314081_Q6,14.0,12.7,14.1,-1.3000000000000007,0.09999999999999964,1.200000000000001,BND,BND,auto_small_raise,True,lenient_undercredit_without_agent_delta,0.932298,0.067702,high_confidence_lenient_undercredit_review,lenient_undercredit_review,0.1977,0.0,0.9,0.5,0.9,0.0,0.0,0.1333
Q6,E12314085_Q6,9.0,4.0,4.0,-5.0,-5.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.816364,0.183636,beta_lt_confidence_lt_alpha,,0.0231,0.0,0.2,0.2,0.2,0.0,0.09,0.7
Q6,E12314089_Q6,6.0,5.0,5.0,-1.0,-1.0,0.0,BND,BND,keep_minor_change,False,minor_candidate_delta,0.826364,0.173636,beta_lt_confidence_lt_alpha,,0.0341,0.0,0.25,0.25,0.25,0.0,0.09,0.65
Q6,E12314093_Q6,4.0,4.0,4.0,0.0,0.0,0.0,POS,POS,,,,0.848182,0.151818,confidence_ge_alpha,,0.0268,0.0,0.2,0.2,0.2,0.0,0.55,0.35
